Mod:Item:MetaData, Localized Name
hbm:ore_gneiss_lithium, Schist Lithium Ore
hbm:ore_gneiss_schrabidium, Schist Schrabidium Ore
hbm:ore_gneiss_rare, Schist Rare Earth Ore
hbm:ore_gneiss_gas, Gas Shale
hbm:ore_tikite, Trixite
hbm:ore_nether_coal, Burning Nether Coal Ore
hbm:ore_nether_smoldering, Smoldering Netherrack
hbm:ore_nether_cobalt, Nether Cobalt Ore
hbm:ore_nether_tungsten, Nether Tungsten Ore
hbm:ore_nether_sulfur, Nether Sulfur Ore
hbm:ore_nether_fire, Nether Phosphorus Ore
hbm:ore_nether_uranium, Nether Uranium Ore
hbm:ore_nether_uranium_scorched, Scorched Nether Uranium Ore
hbm:ore_nether_plutonium, Nether Plutonium Ore
hbm:ore_nether_schrabidium, Nether Schrabidium Ore
hbm:stone_depth_nether, Nether Depth Rock
hbm:ore_depth_nether_neodymium, Nether Depth Neodymium Ore
hbm:ore_depth_nether_nitan, Nether Depth Nitanium Ore
hbm:block_meteor, Meteorite Block
hbm:block_meteor_cobble, Meteorite Cobblestone
hbm:block_meteor_broken, Broken Meteorite Block
hbm:block_meteor_molten, Hot Meteorite Cobblestone
hbm:block_meteor_treasure, Meteorite Treasure Block
hbm:ore_meteor_uranium, Meteor Uranium Ore
hbm:ore_meteor_thorium, Meteor Thorium Ore
hbm:ore_meteor_titanium, Meteor Titanium Ore
hbm:ore_meteor_sulfur, Meteor Sulfur Ore
hbm:ore_meteor_copper, Meteor Copper Ore
hbm:ore_meteor_tungsten, Meteor Tungsten Ore
hbm:ore_meteor_aluminium, Meteor Aluminium Ore
hbm:ore_meteor_lead, Meteor Lead Ore
hbm:ore_meteor_lithium, Meteor Lithium Ore
hbm:ore_meteor_starmetal, Starmetal Ore
hbm:meteor_polished, Polished Meteor Block
hbm:meteor_brick, Meteor Bricks
hbm:meteor_brick_mossy, Mossy Meteor Bricks
hbm:meteor_brick_cracked, Cracked Meteor Bricks
hbm:meteor_brick_chiseled, Chiseled Meteor Bricks
hbm:meteor_pillar, Meteor Pillar
hbm:meteor_spawner, Cyber Crab Assembler
hbm:meteor_battery, Starmetal Static Electricity Generator
hbm:brick_jungle, Enargite Bricks
hbm:brick_jungle_cracked, Cracked Enargite Bricks
hbm:brick_jungle_lava, Magmatic Enargite Bricks
hbm:brick_jungle_ooze, Radioactive Enargite Bricks
hbm:brick_jungle_mystic, Arcane Enargite Bricks
hbm:brick_jungle_trap, Trapped Enargite Bricks
hbm:brick_jungle_glyph, Enargite Glyph Bricks
hbm:brick_jungle_circle, Mechanist's Circle
hbm:brick_dungeon, Berzelianite Bricks
hbm:brick_dungeon_flat, Berzelianite Block
hbm:brick_dungeon_tile, Berzelianite Tile
hbm:brick_dungeon_circle, Berzelianite Cirlce
hbm:block_niter, Block of Niter
hbm:block_niter_reinforced, Reinforced Niter
hbm:block_sulfur, Block of Sulfur
hbm:block_thorium, Block of Thorium
hbm:block_thorium_fuel, Block of Thorium Fuel
hbm:block_neptunium, Block of Neptunium-237
hbm:block_polonium, Block of Polonium-210
hbm:block_mox_fuel, Block of MOX Fuel
hbm:block_plutonium, Block of Plutonium
hbm:block_pu238, Block of Plutonium-238
hbm:block_pu239, Block of Plutonium-239
hbm:block_pu240, Block of Plutonium-240
hbm:block_pu_mix, Block of Reactor Grade Plutonium
hbm:block_plutonium_fuel, Block of Plutonium Fuel
hbm:block_uranium, Block of Uranium
hbm:block_u233, Block of Uranium-233
hbm:block_u235, Block of Uranium-235
hbm:block_u238, Block of Uranium-238
hbm:block_uranium_fuel, Block of Uranium Fuel
hbm:block_titanium, Block of Titanium
hbm:block_copper, Block of Copper
hbm:block_red_copper, Block of Red Copper
hbm:block_advanced_alloy, Block of Advanced Alloy
hbm:block_tungsten, Block of Tungsten
hbm:block_aluminium, Block of Aluminium
hbm:block_fluorite, Block of Fluorite
hbm:block_steel, Block of Steel
hbm:block_lead, Block of Lead
hbm:block_cadmium, Block of Cadmium
hbm:block_bismuth, Block of Bismuth-209
hbm:block_coltan, Block of Coltan
hbm:block_tantalium, Block of Tantalium
hbm:block_niobium, Block of Niobium
hbm:block_trinitite, Block of Trinitite
hbm:block_beryllium, Block of Beryllium
hbm:block_schraranium, Block of Schraranium
hbm:block_schrabidium, Block of Schrabidium-326
hbm:block_schrabidate, Block of Ferric Schrabidate
hbm:block_solinium, Block of Solinium-327
hbm:block_schrabidium_fuel, Block of Schrabidium Fuel
hbm:block_au198, Block of Gold-198
hbm:block_euphemium, Block of Euphemium
hbm:block_dineutronium, Block of Dineutronium
hbm:block_schrabidium_cluster, Schrabidium Cluster
hbm:block_euphemium_cluster, Euphemium-Etched Schrabidium Cluster
hbm:block_combine_steel, Block of CMB Steel
hbm:block_magnetized_tungsten, Block of Magnetized Tungsten
hbm:block_desh, Reinforced Block of Desh
hbm:block_dura_steel, Reinforced Block of High-Speed Steel
hbm:block_saturnite, Block of Saturnite
hbm:gravel_obsidian, Crushed Obsidian
hbm:gravel_diamond, Diamond Gravel
hbm:deco_titanium, Titanium Deco Block
hbm:deco_red_copper, Red Copper Deco Block
hbm:deco_tungsten, Tungsten Deco Block
hbm:deco_aluminium, Aluminium Deco Block
hbm:deco_steel, Steel Deco Block
hbm:deco_lead, Lead Deco Block
hbm:deco_beryllium, Beryllium Deco Block
hbm:deco_asbestos, Asbestos Roof
hbm:deco_rbmk, RBMK Deco
hbm:deco_rbmk_smooth, RBMK Smooth Deco
hbm:spinny_light, Spinny Light
hbm:hazmat, Hazmat Cloth Block
hbm:tape_recorder, Tape Recorder
hbm:steel_poles, Steel Pole
hbm:pole_top, Antenna Top
hbm:pole_satellite_receiver, Satellite Dish
hbm:steel_wall, Steel Wall
hbm:steel_corner, Steel Wall Corner
hbm:steel_roof, Flat Steel Roof
hbm:steel_beam, Steel Beam
hbm:steel_scaffold, Steel Scaffold
hbm:steel_grate, Steel Grate
hbm:deco_pipe, Steel Pipe
hbm:deco_pipe_rusted, Rusty Steel Pipe
hbm:deco_pipe_green, Green Steel Pipe
hbm:deco_pipe_green_rusted, Rusty Green Steel Pipe
hbm:deco_pipe_red, Red Steel Pipe
hbm:deco_pipe_marked, Gas Pipe
hbm:deco_pipe_rim, Steel Pipe (Rimmed)
hbm:deco_pipe_rim_rusted, Rusty Steel Pipe (Rimmed)
hbm:deco_pipe_rim_green, Green Steel Pipe (Rimmed)
hbm:deco_pipe_rim_green_rusted, Rusty Green Steel Pipe (Rimmed)
hbm:deco_pipe_rim_red, Red Steel Pipe (Rimmed)
hbm:deco_pipe_rim_marked, Gas Pipe (Rimmed)
hbm:deco_pipe_framed, Steel Pipe (Framed)
hbm:deco_pipe_framed_rusted, Rusty Steel Pipe (Framed)
hbm:deco_pipe_framed_green, Green Steel Pipe (Framed)
hbm:deco_pipe_framed_green_rusted, Rusty Green Steel Pipe (Framed)
hbm:deco_pipe_framed_red, Red Steel Pipe (Framed)
hbm:deco_pipe_framed_marked, Gas Pipe (Framed)
hbm:deco_pipe_quad, Steel Pipes
hbm:deco_pipe_quad_rusted, Rusty Steel Pipes
hbm:deco_pipe_quad_green, Green Steel Pipes
hbm:deco_pipe_quad_green_rusted, Rusty Green Steel Pipes
hbm:deco_pipe_quad_red, Red Steel Pipes
hbm:deco_pipe_quad_marked, Gas Pipes
hbm:mush, Glowing Mushroom
hbm:mush_block, Grown Glowing Shroom
hbm:mush_block_stem, Grown Glowing Shroom Stem
hbm:block_waste, Block of Nuclear Waste
hbm:block_waste_painted, Painted Block of Nuclear Waste
hbm:block_waste_vitrified, Vitrified Block of Nuclear Waste
hbm:waste_mycelium, Glowing Mycelium
hbm:waste_earth, Dead Grass
hbm:waste_dirt, Contaminated Dirt
hbm:waste_gravel, Contaminated Gravel
hbm:waste_sandstone, Contaminated Sandstone
hbm:waste_sand, Contaminated Sand
hbm:waste_trinitite, Trinitite Ore
hbm:waste_sandstone_red, Contaminated Red Sandstone
hbm:waste_sand_red, Contaminated Red Sand
hbm:waste_trinitite_red, Red Trinitite Ore
hbm:waste_terracotta, Contaminated Terracotta
hbm:waste_log, Charred Log
hbm:waste_planks, Charred Wooden Planks
hbm:waste_leaves, Waste Leaves
hbm:waste_grass_tall, Waste Grass
hbm:plant_dead_generic, Dead Plant
hbm:plant_dead_grass, Dead Plant
hbm:plant_dead_flower, Dead Plant
hbm:plant_dead_big_flower, Dead Plant
hbm:plant_dead_fern, Dead Plant
hbm:dirt_dead, Dead Dirt
hbm:dirt_oily, Oily Dirt
hbm:sand_dirty, Oily Sand
hbm:sand_dirty_red, Red Oily Sand
hbm:stone_cracked, Cracked Stone
hbm:frozen_grass, Frozen Grass
hbm:frozen_log, Frozen Log
hbm:frozen_planks, Frozen Planks
hbm:frozen_dirt, Frozen Dirt
hbm:waste_snow, Contaminated Snow
hbm:waste_snow_block, Contaminated Block of Snow
hbm:waste_ice, Contaminated Ice
hbm:fallout, Fallout
hbm:block_fallout, Block of Fallout
hbm:block_boron, Block of Boron
hbm:block_lanthanium, Block of Lanthanium
hbm:block_ra226, Block of Radium-226
hbm:block_radspice, Block of Neoveline
hbm:block_actinium, Block of Actinium
hbm:block_tritium, Block of Tritium Cells
hbm:block_smore, Block of S'more
hbm:sellafield_slaked, Slaked Sellafite
hbm:sellafield_0, Sellafite
hbm:sellafield_1, Hot Sellafite
hbm:sellafield_2, Boiling Sellafite
hbm:sellafield_3, Blazing Sellafite
hbm:sellafield_4, Infernal Sellafite
hbm:sellafield_core, Sellafite-Corium
hbm:baleonitite_slaked, Slaked Baleonite
hbm:baleonitite_0, Baleonite
hbm:baleonitite_1, Hot Baleonite
hbm:baleonitite_2, Boiling Baleonite
hbm:baleonitite_3, Blazing Baleonite
hbm:baleonitite_4, Infernal Baleonite
hbm:baleonitite_core, Baleonite-Corium
hbm:geysir_water, Water Geysir
hbm:geysir_chlorine, Cloud Geysir
hbm:geysir_vapor, Vapor Geysir
hbm:geysir_nether, Magma Geysir
hbm:block_yellowcake, Block of Yellowcake
hbm:block_starmetal, §9Block of Starmetal§r
hbm:block_polymer, Block of Polymer
hbm:block_bakelite, Block of Bakelite
hbm:block_rubber, Block of Rubber
hbm:block_asbestos, Block of Asbestos
hbm:block_cobalt, Block of Cobalt
hbm:block_lithium, Block of Lithium
hbm:block_zirconium, Block of Zirconium
hbm:block_insulator, Roll of Insulation
hbm:block_fiberglass, Roll of Fiberglass
hbm:block_white_phosphorus, Block of White Phosphorus
hbm:block_red_phosphorus, Block of Red Phosphorus
hbm:block_foam, Foam
hbm:block_lignite, Block of Lignite
hbm:block_coke, Block of Coke
hbm:block_coal_infernal, Block of Infernal Coal
hbm:block_solid_fuel, Block of Solid Fuel
hbm:block_solid_fuel_presto, Block of Presto Logs
hbm:block_solid_fuel_presto_triplet, Block of Boosted Presto Logs
hbm:block_graphite, Block of Graphite
hbm:block_graphite_drilled, Drilled Graphite
hbm:block_graphite_fuel, Pile Fuel
hbm:block_graphite_plutonium, Pile Fuel (Bred)
hbm:block_graphite_rod, Pile Control Rod
hbm:block_graphite_source, Pile Neutron Source
hbm:block_reiium, Block of Reiium
hbm:block_weidanium, Block of Weidanium
hbm:block_australium, Block of Australium
hbm:block_verticium, Block of Verticium
hbm:block_unobtainium, Block of Unobtainium
hbm:block_daffergon, Block of Daffergon
hbm:depth_brick, Depth Bricks
hbm:depth_tiles, Depth Tiles
hbm:depth_nether_brick, Nether Depth Bricks
hbm:depth_nether_tiles, Nether Depth Tiles
hbm:depth_dnt, DNT-Reinforced Depth Bricks
hbm:stone_porous, Porous Stone
hbm:basalt, Basalt
hbm:basalt_sulfur, Sulfur-Rich Basalt
hbm:basalt_fluorite, Fluorite-Rich Basalt
hbm:basalt_asbestos, Asbestos-Rich Basalt
hbm:basalt_gem, Gem-Rich Basalt
hbm:basalt_smooth, Smooth Basalt
hbm:basalt_brick, Basalt Bricks
hbm:basalt_polished, Polished Basalt
hbm:basalt_tiles, Basalt Tiles
hbm:block_cap_nuka, Block of Nuka Cola Bottle Caps
hbm:block_cap_quantum, Block of Nuka Cola Quantum Bottle Caps
hbm:block_cap_rad, Block of S~Cola RAD Bottle Caps
hbm:block_cap_sparkle, Block of S~Cola Bottle Caps
hbm:block_cap_korl, Block of Korl Bottle Caps
hbm:block_cap_fritz, Block of Fritz Cola Bottle Caps
hbm:block_cap_sunset, Block of Sunset Sarsaparilla Bottle Caps
hbm:block_cap_star, Block of Sunset Sarsaparilla Star Caps
hbm:nuke_gadget, The Gadget
hbm:nuke_boy, Little Boy
hbm:nuke_man, Fat Man
hbm:nuke_mike, Ivy Mike
hbm:nuke_tsar, Tsar Bomba
hbm:nuke_fleija, F.L.E.I.J.A.
hbm:nuke_prototype, The Prototype
hbm:nuke_solinium, The Blue Rinse
hbm:nuke_n2, N² Mine
hbm:nuke_fstbmb, Balefire Bomb
hbm:nuke_custom, Custom Nuke
hbm:bomb_multi, Multi Purpose Bomb
hbm:crashed_bomb, Dud
hbm:fireworks, Firework Battery
hbm:mine_ap, Anti-Personell Mine
hbm:mine_he, Anti-Tank Mine
hbm:mine_shrap, Shrapnel Mine
hbm:mine_fat, Fat Mine
hbm:flame_war, Flame War in a Box
hbm:float_bomb, Levitation Bomb
hbm:emp_bomb, EMP Device
hbm:therm_endo, Endothermic Bomb
hbm:therm_exo, Exothermic Bomb
hbm:det_cord, Det Cord
hbm:det_miner, Mining Charge
hbm:det_charge, Explosive Charge
hbm:block_semtex, Block of Semtex
hbm:det_n2, N² Charge
hbm:det_nuke, Nuclear Charge
hbm:det_bale, Balefire Charge
hbm:red_barrel, Explosive Barrel
hbm:pink_barrel, Kerosene Barrel
hbm:yellow_barrel, Radioactive Barrel
hbm:vitrified_barrel, Vitrified Nuclear Waste Drum
hbm:lox_barrel, LOX Barrel
hbm:taint_barrel, IMP Residue Barrel
hbm:red_cable, Red Copper Cable
hbm:red_wire_coated, Red Copper Cable Block
hbm:red_wire_sealed, Rad Sealed Red Copper Cable Block
hbm:cable_switch, Power Switch
hbm:cable_detector, Redstone Power Switch
hbm:machine_detector, Power Detector
hbm:cable_diode, Power Diode
hbm:red_cable_gauge, Power Gauge
hbm:red_pylon, Electricity Pole
hbm:red_pylon_large, Large Electricity Pylon
hbm:substation, Substation
hbm:barrel_plastic, Safe Barrel™
hbm:barrel_corroded, Corroded Barrel
hbm:barrel_iron, Iron Barrel
hbm:barrel_steel, Steel Barrel
hbm:barrel_tcalloy, Technetium Steel Barrel
hbm:barrel_antimatter, Magnetic Antimatter Container
hbm:machine_uf6_tank, Uranium Hexafluoride Tank
hbm:machine_puf6_tank, Plutonium Hexafluoride Tank
hbm:machine_fluidtank, Tank
hbm:machine_bat9000, Big-Ass Tank 9000
hbm:machine_orbus, Heavy Magnetic Storage Tank
hbm:machine_armor_table, Armor Modification Table
hbm:turret_light, Light Machine Gun Turret
hbm:turret_heavy, Heavy Machine Gun Turret
hbm:turret_rocket, Rocket Turret
hbm:turret_flamer, Flamethrower Turret
hbm:turret_tau, Tauon Turret
hbm:turret_spitfire, Heavy Artillery Turret
hbm:turret_cwis, Phalanx Mk-15 CIWS
hbm:turret_cheapo, Cheapo Gatling Sentry
hbm:turret_chekhov, Heavy Machine Gun Turret "Chekhov's Gun"
hbm:turret_friendly, Chaingun Turret "Mister Friendly"
hbm:turret_jeremy, Autocannon Turret "Jeremy"
hbm:turret_tauon, XVL1456 Prototype Turret "Tauon"
hbm:turret_richard, Rocket Launcher Turret "Richard"
hbm:turret_howard, Goalkeeper Twin Chaingun CIWS "Howard"
hbm:turret_howard_damaged, Goalkeeper Twin Chaingun CIWS "Methusalem"
hbm:turret_maxwell, High-Energy MASER Turret "Maxwell"
hbm:turret_fritz, Heavy Flamethrower Turret "Fritz"
hbm:turret_brandon, tile.turret_brandon.name
hbm:rail_highspeed, High Speed Rail
hbm:rail_booster, High Speed Booster Rail
hbm:machine_siren, Siren
hbm:broadcaster_pc, Corrupted Broadcaster
hbm:geiger, Geiger Counter
hbm:fence_metal, Chainlink Fence
hbm:ash_digamma, Ash
hbm:sand_boron, Boron Sand
hbm:sand_lead, Lead Sand
hbm:sand_uranium, Uranium Sand
hbm:sand_polonium, Polonium Sand
hbm:sand_quartz, Quartz Sand
hbm:sand_gold, Gold Sand
hbm:sand_gold198, Gold-198 Sand
hbm:glass_uranium, Uranium Glass
hbm:glass_trinitite, Trinity Glass
hbm:glass_polonium, Polonium Glass
hbm:glass_boron, Boron Glass
hbm:glass_lead, Lead Glass
hbm:glass_ash, Ash Glass
hbm:glass_quartz, Quartz Glass
hbm:seal_frame, Silo Hatch Frame
hbm:seal_controller, Silo Hatch Opener
hbm:seal_hatch, Silo Hatch
hbm:silo_hatch, Silo Hatch
hbm:vault_door, Vault-Tec Blast Door
hbm:blast_door, Sliding Blast Door
hbm:sliding_blast_door, Sideways Sliding Blast Door
hbm:sliding_blast_door_2, Sideways Sliding Blast Door
hbm:sliding_blast_door_keypad, tile.sliding_blast_door_keypad.name
hbm:small_hatch, Small Hatch
hbm:sliding_seal_door, Sliding Metal Door
hbm:sliding_gate_door, Small QE Containment Door
hbm:qe_containment, QE Containment Door
hbm:qe_sliding, QE Sliding Door
hbm:fire_door, Fire Door
hbm:water_door, Water Door
hbm:large_vehicle_door, Large Vehicle Door
hbm:round_airlock_door, Round Airlock Door
hbm:secure_access_door, Secure Access Door
hbm:transition_seal, Transition Seal
hbm:keypad_test, tile.keypad_test.name
hbm:barbed_wire, Barbed Wire
hbm:barbed_wire_fire, Flaming Barbed Wire
hbm:barbed_wire_poison, Poisoned Barbed Wire
hbm:barbed_wire_acid, Caustic Barbed Wire
hbm:barbed_wire_wither, Withered Barbed Wire
hbm:barbed_wire_ultradeath, Cloud Barbed Wire
hbm:spikes, Spikes
hbm:crate, Crate
hbm:crate_weapon, Weapon Crate
hbm:crate_lead, Hazmat Crate
hbm:crate_metal, Machine Crate
hbm:crate_red, Red Crate
hbm:crate_iron, Iron Crate
hbm:crate_steel, Steel Crate
hbm:crate_desh, Desh Crate
hbm:crate_tungsten, Tungsten Crate
hbm:crate_can, Conserve Crate
hbm:crate_jungle, Enargite Crate
hbm:crate_ammo, Starmetal Crate
hbm:safe, Safe
hbm:machine_keyforge, Locksmith Table
hbm:machine_solar_boiler, Solar Tower Boiler
hbm:solar_mirror, Heliostat Mirror
hbm:machine_telelinker, Turret Telemetry Linker
hbm:machine_satlinker, Satellite ID Manager
hbm:sat_dock, Cargo Landing Pad
hbm:soyuz_capsule, Cargo Landing Capsule
hbm:book_guide, Hbm's Nuclear Tech Mod Manual [LEGACY]
hbm:machine_boiler_off, Boiler
hbm:machine_boiler_on, Boiler
hbm:machine_boiler_electric_off, Electric Boiler
hbm:machine_boiler_electric_on, Electric Boiler
hbm:machine_boiler_rtg_off, RTG Boiler
hbm:machine_boiler_rtg_on, RTG Boiler
hbm:machine_battery_potato, Potato Battery Block
hbm:machine_battery, Energy Storage Block
hbm:machine_lithium_battery, Li-Ion Energy Storage Block
hbm:machine_saturnite_battery, Saturnite Energy Storage Block
hbm:machine_desh_battery, Desh Energy Storage Block
hbm:machine_schrabidium_battery, Schrabidium Energy Storage Block
hbm:machine_euphemium_battery, Euphemium Energy Storage Block
hbm:machine_radspice_battery, Neoveline Energy Storage Block
hbm:machine_dineutronium_battery, Spark Energy Storage Block
hbm:machine_electronium_battery, Electronium Energy Storage Block
hbm:machine_fensu, FEnSU
hbm:machine_transformer, Charger (Up)
hbm:machine_transformer_20, Charger (Down)
hbm:machine_transformer_dnt, DNT Charger (Up)
hbm:machine_transformer_dnt_20, DNT Charger (Down)
hbm:machine_converter_he_rf, HE to RF Converter
hbm:machine_converter_rf_he, RF to HE Converter
hbm:machine_press, Burner Press
hbm:machine_epress, Electric Press
hbm:machine_difurnace_on, Blast Furnace
hbm:machine_difurnace_off, Blast Furnace
hbm:machine_difurnace_ext, Blast Furnace Extension
hbm:machine_difurnace_rtg_on, Nuclear Blast Furnace
hbm:machine_difurnace_rtg_off, Nuclear Blast Furnace
hbm:machine_coal_off, Combustion Generator
hbm:machine_coal_on, Combustion Generator
hbm:machine_diesel, Diesel Generator
hbm:machine_industrial_generator, Industrial Generator
hbm:machine_generator, Nuclear Reactor (Old)
hbm:machine_reactor_small, Nuclear Reactor
hbm:machine_controller, Reactor Remote Control Block
hbm:machine_reactor, Breeding Reactor
hbm:machine_reactor_on, Breeding Reactor
hbm:rbmk_blank, RBMK Structural Column
hbm:rbmk_rod, RBMK Fuel Rod
hbm:rbmk_rod_mod, RBMK Moderated Fuel Rod
hbm:rbmk_rod_reasim, RBMK Fuel Rod (ReaSim)
hbm:rbmk_rod_reasim_mod, RBMK Moderated Fuel Rod (ReaSim)
hbm:rbmk_control, RBMK Control Rods
hbm:rbmk_control_mod, RBMK Moderated Control Rods
hbm:rbmk_control_auto, RBMK Automatic Control Rods
hbm:rbmk_boiler, RBMK Steam Channel
hbm:rbmk_heater, RBMK Fluid Heater
hbm:rbmk_reflector, RBMK Tungsten Carbide Neutron Reflector
hbm:rbmk_absorber, RBMK Boron Neutron Absorber
hbm:rbmk_moderator, RBMK Graphite Moderator
hbm:rbmk_outgasser, RBMK Irradiation Channel
hbm:rbmk_cooler, RBMK Emergency Freezer
hbm:rbmk_storage, RBMK Storage Column
hbm:rbmk_console, RBMK Console
hbm:rbmk_crane_console, RBMK Crane Console
hbm:rbmk_loader, RBMK Fluid Loader
hbm:rbmk_steam_inlet, RBMK ReaSim Water Inlet
hbm:rbmk_steam_outlet, RBMK ReaSim Steam Outlet
hbm:pribris, RBMK Debris
hbm:pribris_burning, Flaming RBMK Debris
hbm:pribris_radiating, Smoldering RBMK Debris
hbm:pribris_digamma, Blackened RBMK Debris
hbm:block_corium, Corium
hbm:block_corium_cobble, Corebblestone
hbm:machine_assembler, Assembly Machine
hbm:machine_chemplant, Chemical Plant
hbm:machine_chemfac, Chemical Factory
hbm:machine_mixer, Industrial Mixer
hbm:machine_rtg_grey, RTG Generator
hbm:machine_turbine, Steam Turbine
hbm:machine_large_turbine, Industrial Steam Turbine
hbm:machine_chungus, Leviathan Steam Turbine
hbm:machine_condenser, Steam Condenser
hbm:machine_tower_small, Auxiliary Cooling Tower
hbm:machine_tower_large, Cooling Tower
hbm:machine_deuterium_extractor, Deuterium Extractor
hbm:machine_deuterium_tower, Deuterium Extraction Tower
hbm:anvil_iron, Iron Anvil
hbm:anvil_lead, Lead Anvil
hbm:anvil_steel, Steel Anvil
hbm:anvil_meteorite, Meteorite Anvil
hbm:anvil_starmetal, Starmetal Anvil
hbm:anvil_ferrouranium, Ferrouranium Anvil
hbm:anvil_bismuth, Bismuth-209 Anvil
hbm:anvil_schrabidate, Ferric Schrabidate Anvil
hbm:anvil_dnt, Dineutronium Anvil
hbm:anvil_osmiridium, Osmiridium Anvil
hbm:anvil_murky, Murky Anvil
hbm:conveyor, Conveyor Belt
hbm:conveyor_express, Express Conveyor Belt
hbm:crane_ejector, Conveyor Ejector
hbm:crane_inserter, Conveyor Inserter
hbm:machine_nuke_furnace_off, Nuclear Furnace
hbm:machine_nuke_furnace_on, Nuclear Furnace
hbm:machine_rtg_furnace_off, RTG Furnace
hbm:machine_rtg_furnace_on, RTG Furnace
hbm:machine_selenium, Radial Performance Engine
hbm:launch_pad, Missile Launch Pad
hbm:machine_centrifuge, Centrifuge
hbm:machine_gascent, Gas Centrifuge
hbm:machine_silex, Laser Isotope Separator (SILEX)
hbm:machine_fel, FEL
hbm:machine_crystallizer, Ore Acidizer
hbm:machine_shredder, Shredder
hbm:machine_waste_drum, Spent Fuel Pool Drum
hbm:machine_storage_drum, Nuclear Waste Disposal Drum
hbm:machine_well, Oil Derrick
hbm:machine_pumpjack, Pumpjack
hbm:machine_fracking_tower, Hydraulic Fracking Tower
hbm:oil_pipe, Crude Oil Extraction Pipe
hbm:machine_flare, Gas Flare
hbm:drill_pipe, Drill Pipe
hbm:machine_excavator, Excavator
hbm:machine_mining_laser, Mining Laser
hbm:barricade, Sand Bags
hbm:machine_turbofan, Turbofan
hbm:machine_schrabidium_transmutator, Nuclear Transmutation Device
hbm:machine_combine_factory, CMB Steel Furnace
hbm:machine_teleporter, Teleporter
hbm:field_disturber, High Energy Field Jammer
hbm:machine_forcefield, Forcefield Emitter
hbm:machine_radar, Radar
hbm:radiobox, Rosenberg Pest Control Box
hbm:radiorec, Broken FM Radio
hbm:bm_power_box, Black Mesa Power Switch
hbm:tesla, Tesla Coil
hbm:machine_fraction_tower, Fractioning Tower
hbm:fraction_spacer, Fractioning Tower Separator
hbm:machine_catalytic_cracker, Catalytic Cracking Tower
hbm:machine_refinery, Oil Refinery
hbm:machine_electric_furnace_off, Electric Furnace
hbm:machine_electric_furnace_on, Electric Furnace
hbm:machine_arc_furnace_off, Arc Furnace
hbm:machine_arc_furnace_on, Arc Furnace
hbm:machine_microwave, Microwave
hbm:machine_cyclotron, Cyclotron
hbm:machine_radgen, Radiation-Powered Engine
hbm:heater_firebox, Firebox
hbm:heater_oven, Heating Oven
hbm:heater_oilburner, Fluid Burner
hbm:heater_electric, Electric Heater
hbm:heater_heatex, Heat Exchanging Heater
hbm:heater_rt, Radioisotope Thermal Heater
hbm:furnace_iron, Iron Furnace
hbm:furnace_steel, Steel Furnace
hbm:heat_boiler, Large Boiler
hbm:radsensor, Radiation Sensor
hbm:machine_amgen, Ambience Radiation Generator
hbm:machine_geo, Geothermal Electric Generator
hbm:machine_minirtg, Radio Isotope Cell
hbm:rtg_polonium, PT Isotope Cell
hbm:machine_spp_bottom, ZPE Potential Generator (Bottom)
hbm:machine_spp_top, ZPE Potential Generator (Top)
hbm:marker_structure, Multiblock Structure Marker
hbm:muffler, Muffler
hbm:struct_launcher, Launch Pad Component Block
hbm:struct_scaffold, Launch Pad Scaffold Block
hbm:struct_launcher_core, Compact Launcher Core Component
hbm:struct_launcher_core_large, Launch Table Core Component
hbm:struct_soyuz_core, Soyuz Launcher Core Component
hbm:struct_iter_core, Fusion Reactor Core Component
hbm:struct_plasma_core, Plasma Heater Core Component
hbm:factory_titanium_hull, Basic Factory Casing
hbm:factory_titanium_furnace, Basic Factory Access Hatch
hbm:factory_titanium_conductor, Basic Factory Electricity Port
hbm:factory_titanium_core, Basic Factory Core Component
hbm:factory_advanced_hull, Advanced Factory Casing
hbm:factory_advanced_furnace, Advanced Factory Access Hatch
hbm:factory_advanced_conductor, Advanced Factory Electricity Port
hbm:factory_advanced_core, Advanced Factory Core Component
hbm:reactor_element, Reactor Chamber
hbm:reactor_control, Control Rods
hbm:reactor_hatch, Reactor Access Hatch
hbm:reactor_ejector, Reactor Waste Ejector
hbm:reactor_inserter, Reactor Fuel Inserter
hbm:reactor_conductor, Reactor Boiler
hbm:reactor_computer, Reactor Control
hbm:fusion_conductor, Superconducting Magnet
hbm:fusion_center, Central Magnet Piece
hbm:fusion_motor, Magnet Motor Piece
hbm:fusion_heater, Plasma Heater Component
hbm:fusion_hatch, Fusion Reactor Access Hatch
hbm:fusion_core_block, Fusion Reactor Control
hbm:plasma, Plasma
hbm:iter, Fusion Reactor
hbm:plasma_heater, Plasma Heater
hbm:watz_element, Watz Reaction Chamber
hbm:watz_control, Reinforced Control Rods
hbm:watz_cooler, Watz Reactor Supercooler
hbm:watz_end, Watz Reactor Stability Element
hbm:watz_hatch, Watz Reactor Access Hatch
hbm:watz_conductor, Watz Electricity Port
hbm:watz_core, Watz Reactor Control
hbm:fwatz_conductor, S.A.F.E. Superconducting Magnet Hull
hbm:fwatz_cooler, Regenerative Coolant Fluid Tank Radiator
hbm:fwatz_tank, Regenerative Coolant Fluid Tank
hbm:fwatz_scaffold, S.A.F.E. Structural Support
hbm:fwatz_hatch, S.A.F.E. Plant Access Hatch
